Name,Type,Team,Display Role,Proj Anchor,Auction 25 Anchor,Actual 25 Draft$,Tier Anchor,Discrepancy,Flags,Market Estimate
Aaron Judge,hit,NYY,,68,69,71,,0,Injury Risk,68
Shohei Ohtani,hit,LAD,,68,,,,,,68
Juan Soto,hit,NYM,,54,57,58,,-3,Track Record (Moderate),58
Vladimir Guerrero Jr.,hit,TOR,,52,47,50,,5,,52
Ronald Acuña Jr.,hit,ATL,,50,,,,,Injury Risk (Moderate)|Track Record (Moderate),48
Bobby Witt Jr.,hit,KCR,,47,,,,,,47
Tarik Skubal,pit,DET,starter,46,,,,,,46
Yordan Alvarez,hit,HOU,,49,,,,,Injury Risk (Moderate),44
Fernando Tatis Jr.,hit,SDP,,42,47,41,,-5,,42
Junior Caminero,hit,TBR,,40,,,,,,40
Cal Raleigh,hit,SEA,,36,,,,,Position Scarcity (Severe),40
Kyle Schwarber,hit,PHI,,40,35,32,,5,,40
Pete Alonso,hit,BAL,,40,40,37,,0,,40
Julio Rodríguez,hit,SEA,,39,,,,,,39
Paul Skenes,pit,PIT,starter,39,,,,,,39
Kyle Tucker,hit,LAD,,36,53,49,,-17,Track Record (Moderate),39
Freddie Freeman,hit,LAD,,36,44,43,,-8,Track Record (Moderate),39
José Ramírez,hit,CLE,,39,,,,,,39
Gunnar Henderson,hit,BAL,,39,,,,,,39
Corbin Carroll,hit,ARI,,39,,,,,,39
Garrett Crochet,pit,BOS,starter,38,,,,,,38
Bryce Harper,hit,PHI,,37,,,,,,37
Matt Olson,hit,ATL,,36,39,38,,-3,Track Record (Mild),37
Ketel Marte,hit,ARI,,36,,,,,,36
Nick Kurtz,hit,ATH,,34,,,,,,34
Brent Rooker,hit,ATH,,33,,,,,,33
Elly De La Cruz,hit,CIN,,32,,,,,,32
Corey Seager,hit,TEX,,29,32,35,,-3,Injury Risk|Track Record (Moderate),31
Rafael Devers,hit,SFG,,29,43,40,,-14,Track Record (Moderate),31
Francisco Lindor,hit,NYM,,29,39,39,,-10,Track Record (Moderate),31
Mookie Betts,hit,LAD,,26,54,53,,-28,Track Record (Severe)|Position Scarcity (Moderate),31
Yandy Díaz,hit,TBR,,30,,,,,,30
Manny Machado,hit,SDP,,27,32,32,,-5,Track Record (Moderate),29
Cristopher Sánchez,pit,PHI,starter,28,,,,,,28
Jackson Chourio,hit,MIL,,28,,,,,,28
Austin Riley,hit,ATL,,25,43,45,,-18,Injury Risk|Track Record (Severe),28
George Springer,hit,TOR,,27,,,,,,27
Chris Sale,pit,ATL,starter,30,,,,,Aging Cliff (Moderate),27
Cole Ragans,pit,KCR,starter,24,25,30,,-1,CeilingU (Moderate),26
Eugenio Suárez,hit,CIN,,26,,,,,,26
Bryan Woo,pit,SEA,starter,25,17,12,,8,,25
Trea Turner,hit,PHI,,23,35,35,,-12,Track Record (Moderate),25
Zach Neto,hit,LAA,,25,,,,,,25
Vinnie Pasquantino,hit,KCR,,25,,,,,,25
Riley Greene,hit,DET,,25,,,,,,25
Logan Webb,pit,SFG,starter,24,,,,,,24
Logan Gilbert,pit,SEA,starter,24,,,,,,24
Mason Miller,pit,SDP,closer,24,,,,,,24
Jackson Merrill,hit,SDP,,24,,,,,,24
Zack Wheeler,pit,PHI,starter,24,,,,,,24
Cody Bellinger,hit,NYY,,24,21,19,,3,,24
James Wood,hit,WSN,,23,,,,,,23
Wyatt Langford,hit,TEX,,23,,,,,,23
Josh Naylor,hit,SEA,,23,17,18,,6,,23
Seiya Suzuki,hit,CHC,,23,23,21,,0,,23
Alex Bregman,hit,CHC,,23,20,22,,3,,23
George Kirby,pit,SEA,starter,22,13,15,,9,,22
Jazz Chisholm Jr.,hit,NYY,,20,32,31,,-12,Injury Risk)|CeilingU (Moderate)|Position Scarcity (Mild),22
Max Fried,pit,NYY,starter,22,26,24,,-4,,22
Bo Bichette,hit,NYM,,21,36,22,,-15,Injury Risk|Track Record (Mild),22
William Contreras,hit,MIL,,22,,,,,,22
Jordan Westburg,hit,BAL,,22,,,,,,22
Dylan Cease,pit,TOR,starter,21,,,,,,21
Jacob deGrom,pit,TEX,starter,25,,,,,Injury Risk (Severe),21
Teoscar Hernández,hit,LAD,,21,,,,,,21
Munetaka Murakami,hit,CHW,,21,,,,,,21
Shea Langeliers,hit,ATH,,21,13,12,,8,,21
Jesús Luzardo,pit,PHI,starter,20,,,,,,20
Salvador Perez,hit,KCR,,20,16,16,,4,Aging Cliff,20
Jose Altuve,hit,HOU,,19,23,23,,-4,Aging Cliff|Track Record (Moderate),20
Byron Buxton,hit,MIN,,20,,,,,Injury Risk (Moderate)|Projection Lag (Mild),19
Edwin Díaz,pit,LAD,closer,19,,,,,,19
Hunter Brown,pit,HOU,starter,19,,,,,,19
Framber Valdez,pit,DET,starter,17,30,28,,-13,Track Record (Moderate)|Volume Premium (Mild),19
Ezequiel Tovar,hit,COL,,19,12,15,,7,,19
Hunter Greene,pit,CIN,starter,19,18,20,,1,,19
Joe Ryan,pit,MIN,starter,18,17,15,,1,,18
Jeremy Peña,hit,HOU,,18,,,,,,18
Jarren Duran,hit,BOS,,15,41,43,,-26,Projection Lag (Moderate)|Market Hype (Moderate),18
Taylor Ward,hit,BAL,,18,,,,,,18
CJ Abrams,hit,WSN,,17,,,,,,17
Jhoan Duran,pit,PHI,closer,17,,,,,,17
Ben Rice,hit,NYY,,17,,,,,,17
Yoshinobu Yamamoto,pit,LAD,starter,15,39,25,,-24,CeilingU (Moderate)|Projection Lag (Mild),17
Maikel Garcia,hit,KCR,,17,9,8,,8,,17
Hunter Goodman,hit,COL,,17,,,,,,17
Cade Smith,pit,CLE,closer,17,,,,,,17
Ian Happ,hit,CHC,,17,13,13,,4,,17
Michael Busch,hit,CHC,,17,,,,,,17
Tyler Soderstrom,hit,ATH,,17,,,,,,17
Brandon Nimmo,hit,TEX,,21,8,8,,13,Market Discount (Severe),16
Alec Burleson,hit,STL,,21,6,6,,15,Market Discount (Severe),16
Willy Adames,hit,SFG,,16,,,,,,16
Matt Chapman,hit,SFG,,16,,,,,,16
Randy Arozarena,hit,SEA,,15,22,20,,-7,Track Record (Mild),16
Bryan Reynolds,hit,PIT,,15,18,19,,-3,Track Record (Mild),16
Michael Harris II,hit,ATL,,16,,,,,,16
Nathan Eovaldi,pit,TEX,starter,16,,,,,Aging Cliff (Mild),15
Nick Pivetta,pit,SDP,starter,15,14,12,,1,,15
Marcus Semien,hit,NYM,,14,17,19,,-3,Aging Cliff|Position Scarcity (Mild)|Legacy Inflation (Mild),15
Jo Adell,hit,LAA,,14,,,,,Projection Lag (Moderate),15
Josh Hader,pit,HOU,closer,15,,,,,,15
Pete Crow-Armstrong,hit,CHC,,15,18,13,,-3,,15
Roman Anthony,hit,BOS,,13,,,,,CeilingU (Severe),15
Sonny Gray,pit,BOS,starter,17,,,,,Aging Cliff (Moderate),15
Jurickson Profar,hit,ATL,,15,,,,,,15
Jake Burger,hit,TEX,,13,15,18,,-2,CeilingU (Mild),14
Luis Castillo,pit,SEA,starter,12,22,22,,-10,Track Record (Moderate)|Volume Premium (Moderate),14
Andrés Muñoz,pit,SEA,closer,14,,,,,,14
David Bednar,pit,NYY,closer,14,,,,,,14
Devin Williams,pit,NYM,closer,14,,,,,,14
Pablo López,pit,MIN,starter,13,,,,,Track Record (Moderate),14
Andy Pages,hit,LAD,,13,,,,,Projection Lag (Moderate),14
Blake Snell,pit,LAD,starter,13,,,,,Injury Risk (Moderate)|Track Record (Moderate)|CeilingU (Mild),14
Gleyber Torres,hit,DET,,14,7,7,,7,,14
Aroldis Chapman,pit,BOS,closer,14,,,,,,14
Kazuma Okamoto,hit,TOR,,13,,,,,,13
Iván Herrera,hit,STL,,13,,,,,,13
Aaron Nola,pit,PHI,starter,11,19,27,,-8,Track Record (Severe)|Volume Premium (Moderate),13
Freddy Peralta,pit,NYM,starter,13,11,11,,2,,13
Brandon Woodruff,pit,MIL,starter,14,,,,,Injury Risk (Severe)|Track Record (Moderate)|CeilingU (Mild),13
Yainer Diaz,hit,HOU,,12,14,15,,-2,Position Scarcity (Mild),13
Isaac Paredes,hit,HOU,,13,11,12,,2,,13
Geraldo Perdomo,hit,ARI,,12,,,,,Injury Risk (Mild)|Projection Lag (Severe),13
Kevin Gausman,pit,TOR,starter,11,23,22,,-12,Track Record (Moderate)|Volume Premium (Mild),12
Jonathan Aranda,hit,TBR,,12,,,,,,12
Will Smith,hit,LAD,,11,14,15,,-3,Injury Risk|Position Scarcity (Moderate),12
Tyler Glasnow,pit,LAD,starter,11,14,17,,-3,Injury Risk|CeilingU (Moderate),12
Mike Trout,hit,LAA,,6,33,22,,-27,Injury Risk|Legacy Inflation (Severe)|CeilingU (Severe),12
Spencer Torkelson,hit,DET,,12,,,,,,12
Spencer Strider,pit,ATL,starter,12,,,,,Injury Risk (Moderate)|CeilingU (Moderate),12
Jeff Hoffman,pit,TOR,closer,11,,,,,,11
Griffin Jax,pit,TBR,closer,13,,,,,Role Change (Severe),11
Shane McClanahan,pit,TBR,starter,12,,,,,Injury Risk (Severe)|CeilingU (Moderate),11
Masyn Winn,hit,STL,,11,11,12,,0,,11
Ryan Walker,pit,SFG,closer,11,,,,,,11
Michael King,pit,SDP,starter,12,,,,,Injury Risk (Moderate)|Track Record (Mild),11
Oneil Cruz,hit,PIT,,11,,,,,Injury Risk (Moderate)|CeilingU (Moderate),11
Alec Bohm,hit,PHI,,10,13,15,,-3,Track Record (Mild),11
Brice Turang,hit,MIL,,11,12,10,,-1,,11
Nolan Schanuel,hit,LAA,,12,,,,,Replacement Illusion (Moderate),11
Christian Walker,hit,HOU,,10,19,19,,-9,Aging Cliff|Track Record (Mild),11
Steven Kwan,hit,CLE,,10,17,17,,-7,Track Record (Mild),11
Willson Contreras,hit,BOS,,10,20,17,,-10,Position Scarcity (Moderate)|Track Record (Mild),11
Ozzie Albies,hit,ATL,,10,25,22,,-15,Position Scarcity (Moderate)|Track Record (Mild),11
Drake Baldwin,hit,ATL,,11,,,,,,11
Jacob Wilson,hit,ATH,,11,,,,,,11
MacKenzie Gore,pit,TEX,starter,10,9,9,,1,,10
Heliot Ramos,hit,SFG,,10,,,,,,10
Xander Bogaerts,hit,SDP,,6,20,19,,-14,Projection Lag (Moderate)|Legacy Inflation (Moderate),10
Brandon Lowe,hit,PIT,,10,8,7,,2,Injury Risk,10
Jorge Polanco,hit,NYM,,10,,,,,,10
Abner Uribe,pit,MIL,closer,12,,,,,Role Change (Severe),10
Kyle Stowers,hit,MIA,,10,,,,,,10
