player,type,auction_value_26,tier,draftable,auction_price_25,adj_multiplier,flags,score_24,score_25,role_24,role_25,flags_count,display_role,score_bucket,auction_price_25_imputed,auction_value_26_shadow
Aaron Judge,hit,69.13001862915141,1.0,True,71.0,0.9736622342134,,5.189,4.915666666666667,,,0,,"(3.158, 4.916]",,
Juan Soto,hit,56.863839285714285,2.0,True,58.0,0.9804110221674875,,4.330666666666667,4.161,,,0,,"(3.158, 4.916]",,
Mookie Betts,hit,54.33364398881639,2.0,True,53.0,1.0251630941286112,,2.861333333333333,3.005333333333333,,,0,,"(2.864, 3.158]",,
Kyle Tucker,hit,53.114767770079546,2.0,True,49.0,1.083974852450603,,2.598,3.034333333333333,,,0,,"(2.864, 3.158]",,
Fernando Tatis Jr.,hit,47.10609465891063,2.0,True,41.0,1.1489291380222104,,2.521333333333333,3.272333333333333,,,0,,"(3.158, 4.916]",,
Vladimir Guerrero Jr.,hit,46.64090106007067,2.0,True,50.0,0.9328180212014132,,3.773333333333333,3.266333333333333,,,0,,"(3.158, 4.916]",,
Freddie Freeman,hit,43.6731585650605,2.0,True,43.0,1.015654850350244,,3.1406666666666663,3.239,,,0,,"(3.158, 4.916]",,
Austin Riley,hit,42.93558570660935,2.0,True,45.0,0.9541241268135412,,2.481333333333333,2.2536666666666667,,,0,,"(2.219, 2.375]",,
Rafael Devers,hit,42.8490604162457,2.0,True,40.0,1.0712265104061425,,3.2993333333333337,3.769333333333333,,,0,,"(3.158, 4.916]",,
Jarren Duran,hit,40.52136752136752,2.0,True,43.0,0.9423573842178492,,3.354,2.9673333333333334,,,0,,"(2.864, 3.158]",,
Pete Alonso,hit,39.84324508467977,2.0,True,37.0,1.076844461748102,,3.424666666666667,3.951,,,0,,"(3.158, 4.916]",,
Matt Olson,hit,39.4326923076923,2.0,True,38.0,1.0377024291497974,,3.293333333333333,3.541666666666666,,,0,,"(3.158, 4.916]",,
Francisco Lindor,hit,38.75374761515399,2.0,True,39.0,0.9936858362859998,,3.669,3.622666666666667,,,0,,"(3.158, 4.916]",,
Yoshinobu Yamamoto,pit,38.5054347826087,2.0,True,25.0,1.540217391304348,,1.15,2.3925,starter,starter,0,starter,"(2.375, 2.534]",,
Bo Bichette,hit,36.37307882994546,2.0,True,22.0,1.653321764997521,,1.344666666666667,3.1016666666666666,,,0,,"(2.864, 3.158]",,
Trea Turner,hit,35.284354688950785,2.0,True,35.0,1.0081244196843082,,2.872,2.9186666666666667,,,0,,"(2.864, 3.158]",,
Kyle Schwarber,hit,35.24341138857686,2.0,True,32.0,1.1013566058930269,,3.857666666666667,4.639666666666667,,,0,,"(3.158, 4.916]",,
